CustomerID,Age,Gender,Region,EmploymentStatus,AccountType,AccountBalance,MonthlyIncome,CreditScore,LoanAmount,LoanStatus,MonthlyTransactions,DateJoined,Churned
CUS0021,61,Male,Mombasa,Self-Employed,Savings,60069.13,214494.24,620,39686.38,Defaulted,45,3/24/2019,No
CUS0022,47,Female,Nakuru,Employed,Salary,94672.25,94912.65,625,157960.25,Active,53,4/22/2019,No
CUS0023,55,Female,Kisumu,Self-Employed,Savings,48532.5,57099.71,447,36059.3,Defaulted,17,10/31/2020,No
CUS0024,19,Male,Kisumu,Employed,Salary,124193.18,176548.65,654,185423.66,Fully Paid,23,5/17/2021,No
CUS0025,38,Female,Nairobi,Self-Employed,Salary,18781.1,191922.33,535,162619.22,Fully Paid,25,2/24/2018,No
CUS0026,50,Male,Nairobi,Employed,Fixed Deposit,416969.49,90303.24,404,19581.26,Defaulted,48,2/23/2021,No
CUS0027,29,Female,Nakuru,Employed,Fixed Deposit,272639.41,35223.62,773,402194.75,Active,57,2/12/2019,No
CUS0028,39,Female,Eldoret,Employed,Current,31083.34,121342.74,695,120909.13,Active,49,1/6/2022,No
CUS0029,61,Male,Nairobi,Employed,Salary,133998.27,186948.4,745,475926.09,Fully Paid,31,8/23/2021,No
CUS0030,42,Male,Nairobi,Self-Employed,Salary,100892.03,186986.35,519,162587.97,Active,6,12/7/2021,No
CUS0031,66,Female,Mombasa,Employed,Fixed Deposit,123595.56,195180.6,741,219602.76,Fully Paid,35,1/21/2021,No
CUS0032,44,Female,Eldoret,Unemployed,Current,11561.7,2729.02,327,25096.97,Active,52,5/9/2020,Yes
CUS0033,59,Female,Nairobi,Employed,Current,32516.38,126611.87,774,96955.98,Fully Paid,56,3/28/2019,No
CUS0034,45,Male,Mombasa,Employed,Salary,95231.71,165681.26,604,76036.08,Active,4,7/8/2020,No
CUS0035,33,Female,Nakuru,Self-Employed,Current,39962.77,167151.4,704,426883.69,Fully Paid,40,4/21/2021,No
CUS0036,32,Male,Nairobi,Employed,Salary,41606.83,45481.28,812,241089.79,Fully Paid,20,7/24/2019,No
CUS0037,64,Male,Nairobi,Self-Employed,Current,9902.25,183208.08,801,281027.3,Active,41,7/16/2022,No
CUS0038,68,Female,Kisumu,Self-Employed,Savings,72570.14,191286.61,647,115192.59,Defaulted,54,11/16/2022,No
CUS0039,61,Male,Eldoret,Employed,Current,163021.06,153880.57,539,108524.83,Active,1,1/14/2018,No
CUS0040,69,Female,Nairobi,Employed,Current,160385.39,159405.96,636,93102.82,Defaulted,45,4/4/2022,No
CUS0041,20,Female,Mombasa,Employed,Savings,13629.25,161031.36,325,46572.22,Defaulted,26,7/9/2022,No
CUS0042,54,Female,Mombasa,Employed,Savings,90426.81,142785.55,708,419352.1,Fully Paid,34,11/23/2018,No
CUS0043,68,Female,Mombasa,Employed,Current,136094.37,66687.9,376,45775.03,Active,55,11/30/2021,No
CUS0044,24,Female,Kisumu,Employed,Savings,89855.33,98720.08,516,58738.88,Fully Paid,10,5/15/2020,No
CUS0045,38,Male,Mombasa,Employed,Savings,45268.89,161942.1,627,193426.02,Defaulted,23,11/28/2019,No
CUS0046,26,Male,Mombasa,Self-Employed,Fixed Deposit,246629.69,286959.56,322,46093.31,Defaulted,51,7/24/2019,No
CUS0047,56,Female,Mombasa,Self-Employed,Salary,119835.11,42105.15,609,101110.81,Defaulted,49,11/15/2018,No
CUS0048,35,Female,Mombasa,Self-Employed,Fixed Deposit,91984.03,169950.27,566,194199.84,Active,24,3/17/2019,Yes
CUS0049,21,Male,Mombasa,Employed,Salary,82922.37,83128.79,714,129031.15,Active,13,5/15/2023,No
CUS0050,42,Male,Nakuru,Employed,Fixed Deposit,426372.91,68316.96,566,195333.28,Defaulted,29,4/13/2022,No
CUS0051,31,Male,Nairobi,Unemployed,Savings,83189.06,10116.21,632,173744.88,Defaulted,58,11/21/2019,No
CUS0052,67,Male,Nakuru,Self-Employed,Fixed Deposit,480259.79,189705.02,749,452278.52,Active,46,7/29/2018,No
CUS0053,26,Female,Nakuru,Unemployed,Fixed Deposit,364222.67,195.44,546,146471.84,Fully Paid,27,7/9/2018,No
CUS0054,43,Female,Nairobi,Employed,Current,45515.27,162635.12,335,32960.3,Defaulted,31,2/18/2020,Yes
CUS0055,19,Male,Mombasa,Self-Employed,Savings,3007.75,249567,700,437874.84,Fully Paid,43,7/18/2018,No
CUS0056,37,Female,Mombasa,Self-Employed,Fixed Deposit,265737.11,290343.03,327,10748.42,Active,10,1/6/2020,No
CUS0057,45,Male,Nairobi,Employed,Savings,51856.68,60709.43,519,138795.89,Active,31,10/2/2022,No
CUS0058,64,Female,Nairobi,Self-Employed,Current,51851.2,186474.72,705,198933.31,Fully Paid,39,12/6/2019,No
CUS0059,24,Male,Nairobi,Self-Employed,Savings,13345.05,139455.1,570,98675.91,Fully Paid,10,5/21/2021,No
CUS0060,61,Female,Nairobi,Employed,Current,119310.59,86920.73,810,201248.82,Fully Paid,24,6/26/2019,No
CUS0061,25,Male,Nakuru,Employed,Current,154029.86,126157.69,585,98467.55,Active,33,7/11/2022,No
CUS0062,64,Male,Nairobi,Unemployed,Savings,99322.26,15647.66,753,165652.54,Active,14,3/30/2018,No
CUS0063,52,Female,Nakuru,Student,Current,152869.01,5576.32,616,77553.27,Fully Paid,35,2/3/2022,No
CUS0064,31,Male,Mombasa,Employed,Current,159758.32,194798.02,596,43403.88,Fully Paid,45,7/29/2020,Yes
CUS0065,34,Female,Nakuru,Employed,Salary,96304.52,167679.87,637,22835.05,Fully Paid,34,1/3/2021,No
CUS0066,53,Female,Mombasa,Employed,Salary,148029.17,157696.13,606,124977.02,Active,17,9/13/2018,No
CUS0067,67,Male,Nairobi,Self-Employed,Current,129791.5,232908.47,727,288314.69,Active,21,6/16/2023,No
CUS0068,57,Female,Kisumu,Employed,Fixed Deposit,437113.98,96140.32,650,17438.6,Defaulted,32,3/4/2023,No
CUS0069,21,Female,Nairobi,Student,Savings,94632.68,23790.51,810,92779.31,Active,3,2/15/2020,No
CUS0070,19,Female,Mombasa,Employed,Savings,93055.99,95750.94,824,110028.47,Active,58,6/11/2018,No
CUS0071,23,Female,Eldoret,Employed,Savings,38760.12,182780.16,791,279820.98,Fully Paid,15,2/4/2021,No
CUS0072,59,Female,Nairobi,Self-Employed,Current,20339.1,69622.27,308,32752.59,Active,8,8/24/2019,No
CUS0073,21,Male,Nairobi,Unemployed,Savings,18015.5,5846.95,796,399209.98,Active,32,8/26/2022,Yes
CUS0074,46,Female,Kisumu,Self-Employed,Savings,6863.11,174374.51,739,145681.14,Fully Paid,38,7/11/2021,No
CUS0075,35,Female,Nakuru,Employed,Fixed Deposit,97428.62,84265.88,407,5351.3,Defaulted,26,6/20/2021,No
CUS0076,43,Female,Kisumu,Student,Fixed Deposit,133093.06,15605.93,544,71306.95,Active,30,12/19/2022,No
CUS0077,61,Female,Nairobi,Employed,Current,71513.39,113711.86,554,191778.25,Fully Paid,9,10/31/2022,No
CUS0078,51,Female,Kisumu,Unemployed,Savings,54810.43,17127.07,332,49560.7,Defaulted,57,1/11/2020,No
CUS0079,27,Male,Nairobi,Employed,Current,143778,118942.68,322,15893.99,Defaulted,32,3/28/2021,Yes
CUS0080,53,Female,Kisumu,Unemployed,Current,46130.83,7249.2,348,38320.39,Defaulted,11,1/29/2019,Yes
CUS0081,31,Male,Eldoret,Self-Employed,Fixed Deposit,352635.08,89366.13,761,80828.41,Fully Paid,22,12/13/2021,No
CUS0082,48,Male,Kisumu,Employed,Savings,70721.65,99474.92,635,160346.57,Active,34,5/23/2018,No
CUS0083,65,Male,Nakuru,Unemployed,Fixed Deposit,301380.05,10314.72,657,118266.84,Fully Paid,41,4/4/2018,No
CUS0084,32,Male,Nairobi,Employed,Salary,136506.5,156839.53,421,42699.09,Defaulted,18,9/16/2021,No
CUS0085,25,Female,Kisumu,Employed,Savings,11988.49,50578.29,743,68399.19,Fully Paid,19,4/12/2019,Yes
CUS0086,31,Male,Nakuru,Self-Employed,Salary,34797,82050.57,658,178097.66,Defaulted,54,5/3/2022,No
CUS0087,40,Male,Nairobi,Employed,Current,88589.64,94541.18,645,127407.55,Defaulted,18,8/16/2019,No
CUS0088,57,Female,Nakuru,Self-Employed,Savings,13544.56,120911.55,492,34089.38,Active,37,6/13/2018,No
CUS0089,38,Female,Nairobi,Employed,Current,115427.75,96597.17,715,377889.05,Active,18,10/18/2022,No
CUS0090,33,Female,Kisumu,Employed,Savings,40441.65,164898.61,676,197291.49,Fully Paid,12,4/22/2019,No
CUS0091,62,Male,Nakuru,Employed,Savings,29174.98,85106.25,762,319048.22,Active,4,11/10/2022,No
CUS0092,35,Female,Kisumu,Employed,Current,38148.01,115322.69,445,20254.24,Defaulted,47,7/26/2018,No
CUS0093,64,Female,Nairobi,Self-Employed,Fixed Deposit,200902.21,194693.97,777,449555.83,Fully Paid,43,2/18/2020,No
CUS0094,41,Male,Mombasa,Unemployed,Salary,95114.31,4643.57,707,331129.78,Active,27,7/24/2019,No
CUS0095,43,Female,Mombasa,Student,Fixed Deposit,309103.34,22967.38,585,49867.05,Defaulted,51,7/17/2020,No
CUS0096,42,Female,Eldoret,Unemployed,Savings,17198.78,10942.23,410,36587.91,Defaulted,5,7/25/2021,No
CUS0097,62,Female,Mombasa,Employed,Fixed Deposit,106213.91,105952.8,349,24391.43,Defaulted,6,9/5/2022,No
CUS0098,58,Female,Nairobi,Employed,Current,10201.97,167663.28,313,14257.62,Defaulted,13,1/18/2020,No
CUS0099,46,Male,Kisumu,Employed,Salary,11739.58,71394.19,433,18850.67,Active,23,11/30/2018,No
CUS0100,32,Female,Mombasa,Employed,Salary,133173.46,180139.92,642,99022.23,Defaulted,42,1/29/2020,No
CUS0101,62,Female,Kisumu,Self-Employed,Salary,16312.44,177093.65,585,178869.49,Fully Paid,56,12/29/2019,No
CUS0102,18,Male,Kisumu,Employed,Current,147588.12,133559.73,613,90345.32,Active,25,3/6/2019,No
CUS0103,42,Female,Nakuru,Employed,Fixed Deposit,442393.29,178760.02,596,13258.82,Defaulted,46,10/4/2021,No
CUS0104,24,Male,Mombasa,Student,Savings,10707.73,25439.57,463,44590.91,Defaulted,4,7/1/2019,No
CUS0105,26,Female,Mombasa,Self-Employed,Salary,71082.2,188437.38,796,218774.47,Fully Paid,52,12/8/2021,No
CUS0106,41,Male,Nairobi,Employed,Savings,96268,158041.91,315,5557.47,Defaulted,55,4/3/2023,No
CUS0107,18,Male,Nairobi,Employed,Savings,83579.73,103664.31,643,97481.1,Defaulted,32,10/31/2021,No
CUS0108,61,Male,Nairobi,Employed,Savings,49480.7,123054.22,377,45229.45,Defaulted,44,8/20/2021,No
CUS0109,25,Male,Nairobi,Unemployed,Fixed Deposit,393157,1241.4,645,178169.95,Fully Paid,15,5/27/2018,No
CUS0110,41,Female,Kisumu,Employed,Current,167508.64,45275.85,371,33865.74,Active,26,6/1/2021,Yes
CUS0111,28,Male,Kisumu,Employed,Current,72865.26,171002.32,569,61792.91,Active,42,7/24/2021,No
CUS0112,68,Female,Mombasa,Employed,Salary,134901.41,40144.18,586,143116.63,Active,11,12/17/2018,No
CUS0113,34,Male,Nakuru,Self-Employed,Salary,75866.26,67431.76,365,7207.63,Active,9,12/29/2020,Yes
CUS0114,25,Male,Eldoret,Employed,Savings,53252.93,165291.55,367,10786.41,Active,11,2/2/2022,Yes
CUS0115,52,Male,Nakuru,Unemployed,Savings,99971.06,22.92,492,13020.55,Defaulted,2,5/17/2019,No
CUS0116,52,Female,Kisumu,Unemployed,Salary,128062.42,5648.09,354,42387.68,Defaulted,45,12/1/2018,No
CUS0117,50,Male,Mombasa,Unemployed,Salary,60647.8,11680.77,678,141628.49,Fully Paid,27,8/4/2020,No
CUS0118,22,Female,Mombasa,Employed,Current,7017.39,131226.49,467,48797.61,Defaulted,54,2/17/2020,No
CUS0119,59,Female,Nairobi,Unemployed,Current,127103.94,15543.06,708,430640.11,Active,58,7/7/2019,No
CUS0120,56,Female,Nairobi,Self-Employed,Savings,70687.43,161659.35,807,439121.28,Fully Paid,26,3/11/2023,No
CUS0121,58,Female,Eldoret,Employed,Salary,101112.38,116598.32,836,342638.22,Fully Paid,8,8/3/2021,No
CUS0122,45,Female,Nakuru,Self-Employed,Current,193733.16,223086.96,401,5254.84,Active,21,11/10/2021,No
CUS0123,24,Female,Nairobi,Employed,Current,173279.35,114766.16,721,462267.14,Active,21,2/14/2021,Yes
CUS0124,26,Female,Mombasa,Employed,Savings,45434.34,133443.48,777,151620.97,Fully Paid,8,3/26/2019,No
CUS0125,25,Female,Nakuru,Self-Employed,Salary,18800.05,271376.74,419,47976.27,Defaulted,1,11/3/2021,No
CUS0126,29,Female,Nairobi,Employed,Current,97831.46,98246.67,590,84779.79,Active,38,10/27/2019,No
CUS0127,51,Male,Nairobi,Self-Employed,Savings,69235.16,127835.02,787,405597.09,Fully Paid,58,9/23/2022,No
CUS0128,50,Male,Nakuru,Employed,Current,123503.41,30603.33,460,40247.5,Defaulted,13,4/23/2022,No
CUS0129,65,Male,Mombasa,Unemployed,Fixed Deposit,292161.68,12268.53,377,16340.26,Defaulted,9,5/9/2022,Yes
CUS0130,40,Male,Nairobi,Student,Current,96419.7,5744.3,337,8502.06,Defaulted,28,4/25/2018,Yes
CUS0131,41,Male,Mombasa,Unemployed,Fixed Deposit,182192.84,10082.97,693,38141.08,Defaulted,6,4/15/2019,No
CUS0132,54,Female,Nakuru,Employed,Current,59082.62,166719.74,740,239265.76,Active,47,8/11/2022,No
CUS0133,52,Female,Mombasa,Employed,Salary,80032.41,123486.58,839,479507.19,Active,23,3/7/2018,Yes
CUS0134,61,Female,Nairobi,Self-Employed,Savings,16899.71,95498.13,761,478158.66,Fully Paid,48,7/7/2022,No
CUS0135,57,Female,Nairobi,Employed,Savings,34727.86,163648.63,593,41411.64,Defaulted,36,10/9/2019,Yes
CUS0136,39,Female,Mombasa,Employed,Savings,33073.95,75851.89,699,175015.83,Defaulted,58,4/1/2020,No
CUS0137,44,Female,Mombasa,Self-Employed,Fixed Deposit,314209.76,225248.9,391,36197.35,Defaulted,17,7/3/2019,Yes
CUS0138,52,Female,Nakuru,Self-Employed,Current,18003.05,190872.37,305,5662.58,Defaulted,9,5/16/2018,No
CUS0139,18,Male,Nairobi,Student,Salary,126153.62,9249.91,570,27391.67,Fully Paid,12,3/9/2019,No
CUS0140,52,Male,Nakuru,Employed,Fixed Deposit,303070.27,183872.76,398,29817.06,Defaulted,22,2/14/2023,No
CUS0141,54,Male,Nairobi,Employed,Current,135811.2,64109.43,825,57098.48,Active,51,4/16/2023,No
CUS0142,64,Male,Nairobi,Employed,Salary,108433.15,198229.8,493,44546.04,Defaulted,52,3/7/2021,No
CUS0143,31,Female,Nairobi,Student,Savings,29856.93,5182.76,456,29348.05,Defaulted,58,11/30/2022,No
CUS0144,20,Female,Nairobi,Unemployed,Salary,75852.02,5269.67,414,10398.03,Defaulted,12,1/10/2022,No
CUS0145,18,Female,Mombasa,Unemployed,Current,191467.96,3997.21,695,34388.52,Fully Paid,54,10/7/2019,No
CUS0146,22,Male,Mombasa,Student,Current,154507.52,5349.84,821,313468.03,Active,6,3/12/2019,No
CUS0147,43,Female,Nairobi,Self-Employed,Fixed Deposit,486300.59,225063.01,513,10706.06,Fully Paid,44,9/4/2021,No
CUS0148,31,Female,Kisumu,Self-Employed,Current,150519.6,214159.22,832,292190.18,Fully Paid,9,10/19/2020,No
CUS0149,56,Female,Nairobi,Employed,Savings,18384.41,164699.66,314,33693.19,Defaulted,52,3/21/2020,No
CUS0150,44,Male,Nakuru,Self-Employed,Current,17584.5,91875.59,718,293238.16,Fully Paid,37,12/17/2022,No
CUS0151,26,Female,Eldoret,Self-Employed,Current,117643.98,144413.85,667,45505.72,Active,53,2/16/2023,No
CUS0152,32,Male,Nairobi,Self-Employed,Salary,60093.86,204551.79,512,140239.79,Fully Paid,3,8/9/2021,No
CUS0153,32,Male,Mombasa,Student,Current,58714.29,15994.21,304,10525.55,Defaulted,34,7/28/2020,Yes
CUS0154,43,Male,Nairobi,Student,Salary,123009.54,22433.14,530,61318.19,Fully Paid,8,10/20/2018,No
CUS0155,59,Male,Nairobi,Unemployed,Current,76563.69,12679.47,500,86142.21,Fully Paid,10,6/27/2019,No
CUS0156,30,Female,Nairobi,Unemployed,Current,66815.19,2292.96,701,50591.59,Active,47,10/13/2018,No
CUS0157,68,Male,Nakuru,Self-Employed,Fixed Deposit,432494.42,238692.07,448,37175.09,Defaulted,41,5/21/2019,Yes
CUS0158,49,Male,Mombasa,Employed,Current,170026.03,152514.98,791,295927.31,Active,42,3/6/2022,Yes
CUS0159,56,Female,Nairobi,Employed,Salary,59891.33,141491.85,525,187780.79,Active,43,2/23/2021,Yes
CUS0160,66,Female,Nakuru,Self-Employed,Fixed Deposit,424624.42,63426.21,468,16929.11,Defaulted,9,1/8/2021,No
CUS0161,69,Male,Mombasa,Self-Employed,Current,170901.81,95039.01,451,24904.6,Defaulted,14,6/23/2019,No
CUS0162,49,Female,Nakuru,Employed,Savings,42969.12,96840.1,523,108345.99,Defaulted,37,3/10/2022,No
CUS0163,21,Male,Mombasa,Student,Current,17962.26,11998.24,803,343310.05,Fully Paid,27,4/12/2021,No
CUS0164,47,Male,Mombasa,Employed,Savings,1156.88,68727.75,849,78357.55,Fully Paid,41,5/27/2020,No
CUS0165,54,Male,Nairobi,Employed,Fixed Deposit,285481.61,166910.8,343,5702.48,Defaulted,32,1/13/2023,Yes
CUS0166,40,Male,Nairobi,Self-Employed,Savings,35063.47,198705.03,803,215609.66,Fully Paid,4,4/10/2021,Yes
CUS0167,56,Female,Eldoret,Employed,Savings,99716.06,126130.26,540,196076.5,Fully Paid,2,3/28/2020,Yes
CUS0168,62,Male,Nairobi,Employed,Savings,77468.69,68411.96,650,60393.22,Fully Paid,51,1/12/2020,No
CUS0169,32,Female,Eldoret,Employed,Savings,76366.27,186073.02,322,27995.4,Active,33,3/26/2019,No
CUS0170,60,Female,Mombasa,Unemployed,Savings,95569.03,3823.66,342,32733.26,Active,21,10/11/2018,No
CUS0171,46,Female,Nairobi,Employed,Salary,134281.42,165141.66,765,309502.99,Active,1,11/9/2020,No
CUS0172,53,Female,Nairobi,Self-Employed,Fixed Deposit,193184.37,290668.35,339,6913.61,Defaulted,44,10/7/2020,Yes
CUS0173,30,Male,Nairobi,Self-Employed,Fixed Deposit,124694.25,223585.96,602,97599.3,Active,11,7/6/2018,No
CUS0174,49,Female,Eldoret,Employed,Fixed Deposit,385651.52,198785.99,474,26056.2,Defaulted,1,3/28/2022,Yes
CUS0175,24,Male,Mombasa,Student,Savings,38449.12,21276.28,831,406041.91,Fully Paid,46,4/7/2018,No
CUS0176,68,Female,Nairobi,Employed,Salary,76244.17,66968.26,760,211234.74,Fully Paid,59,10/30/2022,No
CUS0177,39,Female,Nairobi,Student,Savings,63409.38,10095.49,492,37846.2,Defaulted,11,8/13/2018,Yes
CUS0178,45,Male,Nairobi,Self-Employed,Savings,90879.4,110878,543,194312.26,Defaulted,7,11/10/2018,No
CUS0179,19,Male,Mombasa,Student,Current,86722.11,5178.25,579,161509.4,Active,2,7/9/2021,No
CUS0180,59,Male,Nairobi,Employed,Savings,78548.37,145888.74,335,40165.71,Defaulted,15,11/24/2018,No
CUS0181,62,Female,Nakuru,Self-Employed,Fixed Deposit,170752.91,95226.98,839,317649.3,Fully Paid,8,6/11/2022,No
CUS0182,23,Female,Nairobi,Employed,Current,141104.5,168581.15,453,19701.91,Defaulted,54,10/25/2021,No
CUS0183,45,Male,Nairobi,Employed,Fixed Deposit,50710.74,91059.35,322,25426.98,Active,52,5/14/2020,No
CUS0184,45,Male,Mombasa,Self-Employed,Current,174943.91,154387.82,390,14087.22,Defaulted,57,5/6/2021,No
CUS0185,61,Male,Mombasa,Employed,Savings,4007.58,194167.12,689,138774.49,Active,47,5/11/2018,No
CUS0186,61,Male,Eldoret,Self-Employed,Fixed Deposit,370739.19,87808.19,658,86178.36,Active,26,2/28/2020,No
CUS0187,37,Female,Mombasa,Employed,Savings,5579.56,152613.2,849,75845.84,Fully Paid,40,2/21/2020,No
CUS0188,47,Male,Nairobi,Employed,Current,56917.91,158370.02,527,161136.43,Fully Paid,42,5/5/2021,Yes
CUS0189,28,Male,Kisumu,Unemployed,Savings,50223.04,4419.96,501,82880.44,Fully Paid,51,8/16/2020,No
CUS0190,45,Male,Nairobi,Employed,Current,86888.04,115169.46,649,96988.7,Fully Paid,35,12/19/2020,No
CUS0191,42,Male,Nairobi,Self-Employed,Fixed Deposit,136326.25,118056.54,337,30665.72,Defaulted,52,5/30/2019,No
CUS0192,56,Female,Eldoret,Self-Employed,Current,70093.91,236133.75,799,428003.82,Fully Paid,46,6/12/2023,No
CUS0193,50,Male,Nakuru,Unemployed,Salary,111878.89,12449.67,342,19554.23,Defaulted,41,2/7/2021,No
CUS0194,18,Female,Eldoret,Employed,Salary,103695.99,110917.12,816,364867.86,Fully Paid,41,10/29/2022,No
CUS0195,44,Male,Mombasa,Self-Employed,Fixed Deposit,82316.56,238221.71,367,32948.33,Defaulted,21,4/15/2023,No
CUS0196,69,Male,Mombasa,Student,Fixed Deposit,386292.12,10878.89,422,18460.86,Defaulted,57,1/24/2018,No
CUS0197,30,Female,Nairobi,Self-Employed,Savings,6251.54,231014.13,635,166052.6,Active,38,10/25/2021,No
CUS0198,58,Male,Nairobi,Self-Employed,Fixed Deposit,294316.88,262304.81,452,37309.08,Defaulted,8,1/16/2022,No
CUS0199,20,Female,Nakuru,Self-Employed,Savings,26746.21,266014.05,461,18772.63,Defaulted,43,8/23/2018,No
CUS0200,56,Female,Nairobi,Self-Employed,Savings,59181.32,239428.61,513,144027.69,Defaulted,32,10/28/2021,No
CUS0201,23,Male,Nakuru,Self-Employed,Salary,46585.98,134243.97,675,52719.33,Active,8,12/18/2022,No
CUS0202,25,Female,Kisumu,Employed,Current,197066.8,196907.36,742,162731.06,Fully Paid,44,1/4/2021,No
CUS0203,44,Female,Nairobi,Employed,Current,65397,94530.92,722,231453.74,Fully Paid,10,3/18/2022,No
CUS0204,26,Female,Mombasa,Unemployed,Savings,24954.1,12772.51,837,171695.35,Fully Paid,23,7/1/2019,No
CUS0205,54,Female,Kisumu,Employed,Current,59300.73,57382.61,529,78478.24,Defaulted,4,4/24/2022,No
CUS0206,50,Female,Nairobi,Self-Employed,Savings,89750.81,294525.69,358,40233.1,Active,48,8/5/2021,Yes
CUS0207,68,Female,Nakuru,Employed,Savings,63985.66,149677.61,395,44258.59,Defaulted,52,11/28/2019,No
CUS0208,59,Female,Mombasa,Self-Employed,Savings,73337.73,230945.71,561,179212.81,Fully Paid,38,8/17/2018,No
CUS0209,61,Female,Nairobi,Employed,Current,184012.05,41182.04,653,98258.58,Defaulted,30,8/25/2019,No
CUS0210,41,Male,Mombasa,Employed,Current,182815.13,159781.03,611,61788.9,Defaulted,41,6/9/2020,No
CUS0211,32,Male,Eldoret,Student,Savings,74155.64,24368.09,435,42282.49,Defaulted,23,11/20/2018,No
CUS0212,49,Female,Nairobi,Unemployed,Fixed Deposit,139020.99,13435.45,772,195915.91,Fully Paid,5,7/18/2020,No
CUS0213,49,Male,Nakuru,Self-Employed,Savings,84493.96,101734.69,729,198890.1,Active,21,1/7/2018,No
CUS0214,41,Female,Nairobi,Self-Employed,Fixed Deposit,141699.22,157113.21,836,199882.98,Fully Paid,56,5/8/2023,No
CUS0215,58,Female,Nakuru,Self-Employed,Salary,114005.83,50921.62,445,23165.57,Defaulted,6,1/18/2022,No
CUS0216,69,Male,Kisumu,Self-Employed,Fixed Deposit,358521.38,152044.38,823,137020.37,Fully Paid,49,11/29/2022,No
CUS0217,66,Female,Nairobi,Self-Employed,Salary,116244.44,88270.68,386,43223.19,Active,17,1/13/2022,No
CUS0218,66,Female,Nairobi,Employed,Salary,84576,89346.49,408,45015.2,Defaulted,25,6/24/2019,Yes
CUS0219,69,Female,Nakuru,Self-Employed,Current,129551.61,65528.11,722,327532.14,Active,24,6/14/2023,No
CUS0220,29,Female,Mombasa,Unemployed,Fixed Deposit,478994.04,4601.09,644,66291.27,Active,22,10/22/2020,No
CUS0221,56,Male,Kisumu,Student,Salary,24152.4,6914.22,565,161865.1,Fully Paid,13,4/10/2022,No
CUS0222,19,Female,Nairobi,Employed,Current,65225.22,186383.23,793,261509.09,Fully Paid,17,1/1/2019,No
CUS0223,20,Female,Nakuru,Self-Employed,Savings,61524.34,168514.99,632,149376.09,Active,14,11/5/2020,No
CUS0224,66,Female,Kisumu,Self-Employed,Salary,144967.58,131087.75,712,286411.45,Fully Paid,34,2/13/2023,No
CUS0225,54,Male,Eldoret,Employed,Fixed Deposit,93008.5,120954.97,490,49627.14,Defaulted,26,8/6/2018,No
CUS0226,66,Female,Nairobi,Employed,Savings,3232.37,136809.85,441,33574.53,Defaulted,19,11/18/2022,No
CUS0227,34,Male,Mombasa,Employed,Current,15871.17,186719.39,372,40329.15,Active,26,7/4/2021,No
CUS0228,66,Male,Mombasa,Employed,Fixed Deposit,73582.56,60377.8,466,39016.73,Defaulted,3,9/4/2019,No
CUS0229,19,Female,Nairobi,Employed,Current,182024.09,80243.92,467,23502.24,Defaulted,2,9/20/2022,No
